Topic,Count,Topic Words/Terms (Top 10),Proposed Parent Cluster to Merge,Count after Merge,Proposed Threat Description after Merge
25,5,'cryptographic' 'algorithm' 'encrypted' 'nonstandard' 'ivs' 'cryptographic primitive' 'cryptographic implementation' 'inputs' 'primitive' 'cryptographic operations',22,,
26,5,'class' 'destructor' 'virtual' 'child' 'parent' 'leaks' 'parent class' 'child class' 'virtual destructor' 'memory leaks',8,,
27,5,'transmission' 'transmitted' 'communication' 'message' 'channel' 'communication channel' 'data transmitted' 'data' 'securitycritical data' 'sensitive securitycritical',22,,
28,5,'debug' 'debugging' 'debugging messages' 'production code' 'production' 'debug components' 'products debug' 'messages' 'fuses' 'securitysensitive information',8,,
29,5,'hardware' 'wear' 'registers' 'wear leveling' 'memories' 'leveling' 'register' 'nonvolatile' 'nonvolatile memories' 'memorymapped io',18,,
30,5,'alternate' 'alternate channel' 'channel' 'network' 'initialization' 'data stores' 'variables data' 'changes' 'critical internal' 'internal variables',10,,
31,5,'loop' 'infinite' 'nonreentrant function' 'nonreentrant' 'loops' 'condition' 'infinite loop' 'loop conditions' 'concurrent' 'platform resources',8,,
32,5,'credentials' 'authentication' 'default credentials' 'default' 'hardcoded credentials' 'authentication algorithm' 'unauthorized' 'access' 'parties' 'unauthorized access',,5,"Improper or weak credential management (incl. selection, storage and sharing)"
33,4,'hardcoded values' 'network' 'owner' 'resources' 'values' 'hardcoded' 'default value' 'resource' 'default' 'network resources',3,,
34,4,'comments' 'code' 'source code' 'source' 'standards' 'inaccurate' 'inconsistent' 'inaccurate comments' 'inconsistent nonstandard' 'whitespace',8,,
35,4,'boot' 'firmware' 'process' 'boot process' 'secureboot' 'volatile memory' 'volatile' 'secureboot process' 'boot flow' 'secure boot',18,,
36,4,'resource' 'resources' 'resource management' 'management' 'release' 'proper resource' 'handling resources' 'resources handles' 'handles' 'unique identifiers',20,,
37,4,'channel' 'communication' 'http' 'request' 'alternate' 'requests' 'alternate channel' 'communication channel' 'malformed' 'outgoing',5,,
38,4,'power' 'processor' 'reset' 'state' 'debug state' 'power debug' 'power saverestore' 'saverestore' 'processor instructions' 'securitycritical logic',18,,
39,4,'lock' 'resource' 'locked' 'locking' 'locked resource' 'lock checking' 'unlocking' 'proper lock' 'resource locked' 'excessive locking',20,,
40,4,'synchronization' 'shared resource' 'shared' 'threads' 'deadlock' 'resource' 'multiple threads' 'multiple' 'threads processes' 'processes access',20,,
41,3,'fabric' 'transactions' 'ip blocks' 'translation' 'blocks' 'ip' 'data transferred' 'control' 'transferred' 'fabric transactions',18,,
42,3,'path' 'search' 'search path' 'resources' 'controlled search' 'controlled' 'critical resources' 'files' 'resources accessed' 'critical',9,,
43,3,'variables' 'variable' 'global' 'global variables' 'static' 'static code' 'code' 'scope' 'block' 'code block',8,,
44,3,'comparison' 'data representation' 'representation' 'incorrect comparison' 'entities' 'incorrect' 'compared' 'entities compared' 'lowlevel data' 'comparisons',8,,
45,3,'real' 'calculations' 'real numbers' 'accuracy' 'accuracy precision' 'precision' 'fractional' 'shifting' 'integer' 'conversion',8,,
46,3,'metadata' 'file device' 'access' 'access control' 'information' 'file' 'sensitive information' 'device' 'records' 'sensitive',11,,
47,3,'constants' 'symbolic' 'hardcoded constants' 'definitions' 'constant definitions' 'constant' 'source code' 'code' 'hardcoded' 'source',8,,
48,3,'sentinel' 'deprecated' 'functions' 'accidental' 'deprecated functions' 'problems' 'datastructure' 'logic problems' 'sentinel value' 'datastructure sentinel',8,,
49,3,'variables' 'attributes' 'dynamicallyidentified' 'dynamicallyidentified variables' 'restricted functionality' 'administration' 'attributes modified' 'administration restricted' 'product' 'functionality',20,,
50,3,'xml' 'malicious xml' 'product' 'xml product' 'filename' 'case' 'malicious' 'untrusted source' 'file' 'implementing',2,,
51,2,'removal' 'securitycritical protection' 'data removal' 'removal process' 'hardware components' 'securitycritical' 'protection' 'optimization' 'potentially sensitive' 'protection mechanism',8,,
52,2,'addresses' 'protected' 'lock' 'configuration' 'protected registers' 'registers lock' 'lock bits' 'power state' 'state transitions' 'transitions',20,,
53,2,'function' 'api requirements' 'requirements' 'parameter' 'api' 'undefined behavior' 'control parameter' 'undefined' 'application' 'privileges',8,,
54,2,'regions' 'memory' 'mmio regions' 'mmio' 'mirrored memory' 'mirrored' 'memory areas' 'protection' 'overlapping' 'memory regions',18,,
55,2,'trusted' 'data' 'untrusted data' 'data sources' 'sources' 'trusted untrusted' 'untrusted' 'mixed' 'structured' 'trusted data',9,,
56,2,'sensor' 'sensor data' 'device' 'data values' 'parametric' 'readings' 'parametric data' 'untrusted software' 'temperatures' 'threat',18,,
